band_name,performer_id
Imagine Dragons,40
Imagine Dragons,41
Imagine Dragons,42
Imagine Dragons,43
One Direction,44
One Direction,45
One Direction,46
One Direction,47
Coldplay,48
Coldplay,49
Coldplay,50
Coldplay,51
Twenty One Pilots,52
Twenty One Pilots,53
DVBBS,54
DVBBS,55
Fall Out Boy,56
Fall Out Boy,57
Fall Out Boy,58
Fall Out Boy,59
Paramore,60
Paramore,61
Paramore,62
Blink 182,63
Blink 182,64
Blink 182,65
5 Seconds of Summer,66
5 Seconds of Summer,67
5 Seconds of Summer,68
5 Seconds of Summer,69
Metallica,70
Metallica,71
Metallica,72
Metallica,73
U2,74
U2,75
U2,76
U2,77
Lady Antebellum,78
Lady Antebellum,79
Lady Antebellum,80
The Chainsmokers,81
The Chainsmokers,82
Arctic Monkeys,83
Arctic Monkeys,84
Arctic Monkeys,85
Arctic Monkeys,86
